name,text,cooking_time,tags/0,tags/1,tags/2,tags/3,ingredients/0/id,ingredients/0/amount,ingredients/1/id,ingredients/1/amount,ingredients/2/id,ingredients/2/amount,ingredients/3/id,ingredients/3/amount
"Pasta Carbonara","Cook spaghetti according to package instructions. In a pan, fry bacon until crispy. Add minced garlic and cook until fragrant. In a bowl, whisk eggs, Parmesan cheese, and black pepper. Mix the cooked spaghetti with the egg mixture. Add bacon and stir. Serve with additional Parmesan.",20,2,5,8,62,30,15,20,44,3,98,50,9
"Chicken Stir-Fry","Marinate chicken with soy sauce, ginger, and garlic. Stir-fry chicken in a hot wok until cooked. Add vegetables like bell peppers and broccoli. Mix in a sauce made of soy sauce, hoisin, and sesame oil. Cook until vegetables are tender. Serve over rice.",25,3,6,7,84,25,14,25,6,50,10,25
"Caprese Salad","Slice tomatoes and fresh mozzarella. Arrange them on a plate. Drizzle with balsamic glaze and olive oil. Sprinkle with fresh basil, salt, and pepper. A simple and delicious Caprese salad is ready to enjoy.",10,1,4,9,12,2,5,1,7,8,14,10,6,5
"Grilled Salmon","Season salmon fillets with salt, pepper, and lemon juice. Grill for 4-5 minutes per side or until cooked through. Serve with a side of roasted vegetables for a healthy and flavorful meal.",15,2,5,17,10,21,15,5,8,12
"Pumpkin Soup","Saute onions and garlic. Add diced pumpkin, broth, and spices. Simmer until pumpkin is tender. Blend until smooth. Adjust seasoning. Serve hot with a dollop of sour cream and a sprinkle of pumpkin seeds.",30,1,3,8,32,5,16,20,4,35,18,7,12
"Chocolate Cake","Preheat oven to 350°F. Mix flour, sugar, and cocoa powder. Add eggs, milk, and vanilla extract. Beat until smooth. Pour into a greased cake pan. Bake for 30-35 minutes. Let it cool and frost with chocolate icing.",40,4,6,10,15,8,2,40,12,18,25,7,50,30
"Vegetable Stir-Fry","Chop various vegetables. Heat oil in a pan. Add vegetables and stir-fry until tender. Mix soy sauce and ginger. Pour over vegetables and toss. Serve with rice or noodles.",20,5,7,9,56,8,3,20,12,35,10,5,29,15
"Margherita Pizza","Roll out pizza dough. Spread tomato sauce and fresh mozzarella. Add basil leaves. Bake until crust is golden and cheese is melted. Drizzle with olive oil before serving.",18,1,4,8,23,12,5,15,8,40,10,3,27,20
"Grilled Chicken Salad","Marinate chicken in olive oil, lemon juice, and herbs. Grill until cooked. Toss mixed greens, cherry tomatoes, and cucumbers. Slice grilled chicken on top. Dress with balsamic vinaigrette.",30,2,6,7,78,15,10,30,6,45,8,20,32,12
"Lemon Garlic Shrimp","Saute shrimp in garlic and butter. Add lemon juice, parsley, and red pepper flakes. Cook until shrimp turns pink. Serve over pasta or rice.",15,3,5,9,41,10,20,15,8,30,12,4,18,25
"Beef Stir-Fry","Slice beef thinly. Marinate with soy sauce and ginger. Stir-fry beef in a hot wok until browned. Add broccoli, bell peppers, and snap peas. Mix in a savory sauce. Serve over rice.",25,3,5,8,21,10,15,7,20,18,5,32,12,25
"Tomato Basil Soup","Saute onions and garlic. Add tomatoes, broth, and fresh basil. Simmer until tomatoes are soft. Blend until smooth. Season with salt and pepper. Serve with a drizzle of olive oil.",30,1,4,9,15,8,2,25,10,30,7,20,12,35
"Shrimp Scampi","Cook linguine. Saute shrimp in garlic and butter. Add white wine, lemon juice, and red pepper flakes. Toss with cooked pasta. Garnish with parsley and grated Parmesan.",20,2,6,7,32,10,20,15,5,30,8,12,4,18
"Spinach and Feta Stuffed Chicken","Butterfly chicken breasts. Season with salt and pepper. Mix spinach, feta, and garlic. Stuff inside chicken breasts. Bake until chicken is cooked through. Serve with a side of quinoa.",35,4,7,10,45,15,8,20,5,35,10,18,32,25
"Ratatouille","Slice eggplant, zucchini, and bell peppers. Arrange in a baking dish. Drizzle with olive oil. Sprinkle with herbs. Bake until vegetables are tender. Serve as a side or over couscous.",40,1,5,8,18,10,15,7,25,32,12,5,20,30
"Blueberry Pancakes","Mix flour, sugar, baking powder, and salt. In a separate bowl, whisk eggs and milk. Combine wet and dry ingredients. Fold in blueberries. Cook pancakes on a griddle until golden brown. Serve with maple syrup.",15,2,4,9,10,8,12,15,5,20,18,32,7,25
"Caesar Salad","Toss chopped romaine lettuce with Caesar dressing. Add croutons and shaved Parmesan cheese. Mix well. Serve as a refreshing side or add grilled chicken for a complete meal.",15,5,7,9,27,12,8,20,5,30,10,15,18,25
"Vegetarian Tacos","Saute black beans, corn, and bell peppers. Season with cumin and chili powder. Fill taco shells with the mixture. Top with lettuce, tomatoes, and cheese. Drizzle with salsa and sour cream.",20,1,6,8,36,10,15,7,20,18,5,32,12,25
"Teriyaki Salmon","Marinate salmon fillets in teriyaki sauce. Grill until fish is cooked through. Serve with steamed rice and sautéed vegetables. Garnish with sesame seeds and green onions.",25,2,5,10,14,15,20,8,12,25,7,18,32,10
"Mushroom Risotto","Saute mushrooms, onions, and garlic. Add Arborio rice and cook until translucent. Gradually add vegetable broth, stirring until absorbed. Finish with Parmesan cheese and chopped parsley.",30,4,7,9,24,10,15,7,32,12,20,5,18,25
"Veggie Burger","Mash black beans and mix with breadcrumbs, grated carrots, and spices. Form into patties and grill until golden brown. Serve on a bun with lettuce, tomatoes, and your favorite condiments.",25,1,6,8,28,10,15,7,20,18,5,32,12,25
"Chicken Alfredo Pasta","Cook fettuccine according to package instructions. In a pan, saute chicken in butter until cooked. Add heavy cream, Parmesan cheese, and garlic. Toss with cooked pasta. Garnish with parsley.",30,3,7,10,18,15,20,8,12,25,7,32,10,18
"Quinoa Salad","Cook quinoa and let it cool. Mix with diced cucumbers, cherry tomatoes, red onion, and feta cheese. Dress with olive oil, lemon juice, and herbs. A refreshing and nutritious salad is ready.",20,5,8,9,37,10,15,7,20,18,32,5,12,25
"Beef Tacos","Season ground beef with taco seasoning. Cook until browned. Fill taco shells with the beef mixture. Top with lettuce, tomatoes, cheese, and salsa. Enjoy a classic and flavorful taco night.",25,2,6,10,46,10,15,7,20,18,5,32,12,25
"Spaghetti Bolognese","Saute onions, garlic, and ground beef until browned. Add tomatoes, tomato paste, and herbs. Simmer until the sauce thickens. Serve over cooked spaghetti with grated Parmesan.",35,3,5,8,58,15,20,10,18,25,7,32,12,5
"Garlic Butter Shrimp Pasta","Cook linguine. In a pan, saute shrimp in garlic butter until pink. Toss with cooked pasta and fresh parsley. Drizzle with lemon juice. A quick and delicious shrimp pasta is ready.",20,2,6,8,63,10,15,7,20,18,32,5,12,25
"Stuffed Bell Peppers","Cut bell peppers in half. Fill with a mixture of ground turkey, quinoa, black beans, corn, and salsa. Bake until peppers are tender. Garnish with cilantro and cheese.",40,1,7,9,74,10,15,7,20,18,5,32,12,25
"Caprese Pizza","Roll out pizza dough. Spread pesto on the crust. Add sliced tomatoes, fresh mozzarella, and basil leaves. Bake until the crust is golden. Drizzle with balsamic glaze before serving.",18,4,6,8,23,12,5,15,8,40,10,3,27,20
"Chickpea Curry","Saute onions, garlic, and ginger. Add chickpeas, tomatoes, and coconut milk. Simmer until flavors meld. Season with curry spices. Serve over rice for a satisfying vegetarian curry.",30,5,8,9,84,10,15,7,20,18,32,5,12,25
"Shrimp and Avocado Salad","Grill shrimp until cooked. Toss with mixed greens, cherry tomatoes, avocado slices, and red onion. Dress with a lime vinaigrette. A light and refreshing shrimp salad.",15,2,6,7,95,15,10,20,8,35,12,18,32,5
"Teriyaki Chicken Stir-Fry","Marinate chicken in teriyaki sauce. Stir-fry with broccoli, bell peppers, and snap peas. Serve over rice. Garnish with sesame seeds and green onions.",25,3,5,8,105,10,15,7,20,18,5,32,12,25
"Chicken Parmesan","Coat chicken breasts with breadcrumbs and Parmesan. Fry until golden. Top with marinara sauce and mozzarella cheese. Bake until cheese is melted and bubbly. Serve over spaghetti.",35,2,7,10,114,15,20,8,12,25,7,18,32,10
"Cauliflower Fried Rice","Grate cauliflower into rice-sized pieces. Saute with diced vegetables, soy sauce, and sesame oil. Push the cauliflower to the side and scramble eggs. Mix everything together for a tasty cauliflower fried rice.",20,1,6,8,123,10,15,7,20,18,32,5,12,25
"Chicken and Broccoli Alfredo","Cook fettuccine. In a pan, saute chicken and broccoli. Add Alfredo sauce and cooked pasta. Toss until everything is coated. A creamy chicken and broccoli Alfredo pasta is ready to enjoy.",30,3,5,8,132,15,20,10,18,25,7,32,12,5
"Vegetable Noodle Stir-Fry","Spiralize zucchini and carrots. Stir-fry with bell peppers, snap peas, and broccoli. Toss with a sauce made of soy sauce, garlic, and ginger. Serve for a healthy and colorful noodle stir-fry.",25,5,8,9,141,10,15,7,20,18,32,5,12,25
"Salmon Salad","Grill salmon fillets until cooked. Flake into bite-sized pieces. Toss with mixed greens, cherry tomatoes, cucumbers, and avocado. Dress with a lemon vinaigrette for a light and nutritious salmon salad.",20,2,6,7,150,15,10,20,8,35,12,18,32,5
"Turkey and Veggie Skewers","Marinate turkey cubes in a mixture of olive oil, lemon juice, and herbs. Skewer with bell peppers, cherry tomatoes, and red onion. Grill until turkey is cooked through.",30,1,7,9,158,10,15,7,20,18,5,32,12,25
"Sweet Potato and Black Bean Chili","Saute onions, garlic, and bell peppers. Add sweet potatoes, black beans, tomatoes, and chili spices. Simmer until sweet potatoes are tender. A hearty and flavorful sweet potato and black bean chili.",35,4,8,10,166,10,15,7,20,18,32,5,12,25
"Garlic Herb Butter Shrimp","Saute shrimp in garlic herb butter until pink and opaque. Serve with a side of rice or pasta. Garnish with chopped parsley and lemon wedges for a simple and delicious shrimp dish.",20,2,6,8,175,15,20,10,18,25,7,32,12,5
"Vegetarian Lasagna","Layer lasagna noodles with ricotta cheese, spinach, marinara sauce, and mozzarella. Bake until bubbly and golden. Let it rest before slicing into delicious layers of vegetarian lasagna.",40,1,5,8,184,10,15,7,32,12,20,5,18,25
"Chicken Fajitas","Marinate chicken strips with fajita seasoning. Saute with bell peppers and onions. Serve in tortillas with toppings like guacamole, salsa, and sour cream.",25,2,6,10,193,10,15,7,20,18,5,32,12,25
"Quiche Lorraine","Prepare a pie crust. Mix eggs, cream, bacon, and Swiss cheese. Pour into the crust and bake until set and golden. A classic and delicious Quiche Lorraine.",35,4,7,9,202,15,20,8,12,25,7,18,32,10
"Stuffed Portobello Mushrooms","Remove stems from portobello mushrooms. Fill with a mixture of breadcrumbs, Parmesan, garlic, and herbs. Bake until mushrooms are tender and stuffing is golden.",30,1,5,8,211,10,15,7,32,12,20,5,18,25
"Tomato Basil Bruschetta","Dice tomatoes and mix with fresh basil, garlic, and olive oil. Spoon onto slices of toasted baguette. A simple and flavorful tomato basil bruschetta.",15,5,8,9,220,10,15,7,20,18,32,5,12,25
"Chicken and Rice Casserole","Mix cooked chicken, rice, cream of mushroom soup, and vegetables. Bake until bubbly and golden. A comforting chicken and rice casserole for an easy weeknight meal.",40,3,7,10,229,15,20,8,12,25,7,18,32,10
"Vegetable Curry","Saute onions, garlic, and ginger. Add mixed vegetables and coconut milk. Simmer until vegetables are tender. Season with curry spices. Serve over rice for a flavorful vegetarian curry.",30,5,8,9,238,10,15,7,20,18,32,5,12,25
"Pesto Pasta with Cherry Tomatoes","Cook pasta and toss with pesto sauce. Add halved cherry tomatoes and mix well. Garnish with pine nuts and grated Parmesan for a quick and tasty pesto pasta.",20,4,6,8,247,15,10,20,8,35,12,18,32,5
"Cajun Shrimp and Sausage Skillet","Saute Cajun-seasoned shrimp and sliced sausage in a skillet. Add bell peppers, onions, and garlic. Serve over rice or pasta for a flavorful Cajun shrimp and sausage dish.",25,2,6,10,256,10,15,7,20,18,5,32,12,25
"Mango Avocado Salsa","Dice mango and avocado. Mix with red onion, cilantro, lime juice, and salt. Serve as a refreshing salsa for grilled chicken or fish.",15,1,7,9,265,15,20,8,12,25,7,18,32,10
"Chicken Caesar Wrap","Grill chicken and slice into strips. Spread Caesar dressing on a tortilla. Add lettuce, sliced chicken, croutons, and Parmesan cheese. Wrap and enjoy a delicious Chicken Caesar Wrap.",20,3,5,8,274
"Shrimp and Asparagus Stir-Fry","Stir-fry shrimp and asparagus in a hot wok. Add soy sauce, garlic, and ginger. Cook until shrimp are pink and asparagus is tender-crisp. Serve over rice.",20,2,6,10,283,10,15,7,20,18,5,32,12,25
"Vegetarian Enchiladas","Fill tortillas with black beans, corn, and sauteed vegetables. Roll and place in a baking dish. Top with enchilada sauce and cheese. Bake until bubbly and golden.",30,1,7,9,292,10,15,7,20,18,32,5,12,25
"Chicken Noodle Soup","Saute onions, carrots, and celery. Add shredded cooked chicken, chicken broth, and noodles. Simmer until noodles are cooked. A comforting bowl of chicken noodle soup.",40,3,5,8,301,15,20,10,18,25,7,32,12,5
"Spinach Artichoke Stuffed Chicken","Butterfly chicken breasts and stuff with a mixture of spinach, artichokes, and cream cheese. Bake until chicken is cooked through. A creamy and delicious stuffed chicken.",35,4,7,10,310,10,15,7,32,12,20,5,18,25
"Beef and Broccoli","Slice beef thinly. Stir-fry with broccoli in a savory sauce made of soy sauce and garlic. Serve over rice for a classic beef and broccoli dish.",25,3,5,8,319,10,15,7,20,18,5,32,12,25
"Vegan Buddha Bowl","Layer quinoa, roasted sweet potatoes, black beans, avocado slices, and shredded cabbage in a bowl. Drizzle with tahini dressing for a nutritious and colorful vegan Buddha bowl.",30,5,8,9,328,10,15,7,20,18,32,5,12,25
"Spicy Garlic Shrimp Tacos","Saute shrimp in spicy garlic butter. Fill tortillas with the shrimp, shredded lettuce, and diced tomatoes. Drizzle with lime crema for a delicious and spicy shrimp taco.",20,2,6,10,337,15,20,10,18,25,7,32,12,5
"Mushroom and Spinach Quesadillas","Saute mushrooms and spinach. Fill tortillas with the sauteed mixture and cheese. Cook until the tortillas are golden and the cheese is melted. Serve with salsa and guacamole.",25,1,7,9,346,10,15,7,20,18,32,5,12,25
"Grilled Vegetable Skewers","Skewer bell peppers, zucchini, cherry tomatoes, and mushrooms. Grill until vegetables are charred and tender. Serve as a colorful and flavorful side dish.",30,5,8,9,355,10,15,7,20,18,32,5,12,25
"Lemon Garlic Herb Roast Chicken","Rub chicken with a mixture of lemon, garlic, and herbs. Roast until golden and cooked through. Serve with roasted vegetables for a flavorful roast chicken.",40,2,7,10,364,15,20,8,12,25,7,18,32,10
"Broccoli Cheddar Stuffed Potatoes","Bake potatoes until tender. Scoop out the insides and mix with steamed broccoli and cheddar cheese. Fill the potato skins and bake until the cheese is melted.",35,4,6,8,373,10,15,7,32,12,20,5,18,25
"Caprese Chicken Sandwich","Grill chicken breasts and top with fresh mozzarella, tomatoes, and basil. Place on a bun with a drizzle of balsamic glaze for a delicious Caprese chicken sandwich.",25,1,5,8,382,15,20,10,18,25,7,32,12,5
"Pineapple Fried Rice","Stir-fry cooked rice with diced pineapple, vegetables, and soy sauce. Add cooked shrimp or tofu for protein. A sweet and savory pineapple fried rice.",20,2,6,10,391,10,15,7,20,18,5,32,12,25
"Tomato Basil Pesto Pasta","Cook pasta and toss with a pesto made of fresh tomatoes, basil, garlic, and pine nuts. Garnish with grated Parmesan for a simple and flavorful tomato basil pesto pasta.",15,4,7,9,400,15,10,20,8,35,12,18,32,5
"Teriyaki Tofu Stir-Fry","Stir-fry tofu with broccoli, bell peppers, and snap peas in teriyaki sauce. Serve over rice or noodles for a delicious and vegetarian teriyaki tofu stir-fry.",25,5,8,9,409,10,15,7,20,18,32,5,12,25
"Chickpea and Spinach Curry","Saute onions, garlic, and ginger. Add chickpeas, tomatoes, and spinach. Simmer until flavors meld. Season with curry spices. Serve over rice for a satisfying vegetarian curry.",30,1,7,10,418,15,20,8,12,25,7,18,32,10
"BBQ Pulled Pork Sandwiches","Slow-cook pork shoulder in BBQ sauce until tender. Shred the pork and serve on buns with coleslaw. A classic and flavorful BBQ pulled pork sandwich.",40,3,5,8,427,10,15,7,32,12,20,5,18,25
"Greek Salad with Chicken","Grill chicken and slice into strips. Toss with mixed greens, cherry tomatoes, cucumbers, olives, and feta cheese. Dress with a lemon vinaigrette for a refreshing Greek salad.",20,2,6,10,436,15,10,20,8,35,12,18,32,5
"Oven-Baked Fish Tacos","Season fish fillets with spices and bake until flaky. Fill tortillas with the baked fish, shredded cabbage, and lime crema. A healthier twist on fish tacos.",25,4,7,9,445,10,15,7,20,18,32,5,12,25
"Lentil Soup","Saute onions, carrots, and celery. Add lentils, broth, and spices. Simmer until lentils are tender. A hearty and nutritious lentil soup for a comforting meal.",35,5,8,9,454,10,15,7,20,18,32,5,12,25
"Chicken Pesto Pasta","Cook pasta and toss with grilled chicken, cherry tomatoes, and a pesto made of basil, garlic, and pine nuts. A flavorful and easy chicken pesto pasta.",30,3,5,8,463,15,20,10,18,25,7,32,12,5
"Ravioli with Sage Butter Sauce","Cook ravioli and toss with a sauce made of butter, sage, and Parmesan. A simple and elegant ravioli with sage butter sauce.",20,1,6,8,472,10,15,7,32,12,20,5,18,25
"Cajun Chicken and Sausage Jambalaya","Saute chicken and sausage in Cajun spices. Add bell peppers, onions, and rice. Cook until rice is tender. A flavorful Cajun chicken and sausage jambalaya.",40,2,7,10,481,15,20,8,12,25,7,18,32,10
"Vegetable Frittata","Whisk eggs and pour over sauteed vegetables like bell peppers, onions, and spinach. Bake until set and golden. Slice into wedges for a delicious vegetable frittata.",30,4,6,8,490,10,15,7,20,18,32,5,12,25
"Buffalo Chicken Wraps","Grill chicken and toss in buffalo sauce. Spread ranch dressing on a tortilla. Add lettuce, buffalo chicken, and shredded cheese. Roll up for a spicy and flavorful buffalo chicken wrap.",25,1,5,8,499,15,20,10,18,25,7,32,12,5
"Tomato Basil Mozzarella Sandwich","Layer slices of tomato, fresh mozzarella, and basil leaves on a baguette. Drizzle with balsamic glaze for a simple and delicious tomato basil mozzarella sandwich.",35,3,7,9,508,10,15,7,32,12,20,5,18,25
"Chicken Teriyaki Bowl","Grill chicken and slice into strips. Serve over steamed rice with teriyaki sauce, steamed broccoli, and sesame seeds. A quick and tasty chicken teriyaki bowl.",30,2,6,10,517,15,10,20,8,35,12,18,32,5
